,reviewText,sentiment,pred
0,"My dentist recommended this as a relaxation technique for dental visits. They give me an ipod with headphones, play this on it and it relieves some of the stress of dental treatment, which I dislike intensely.
It worked so well that I bought my own copy to try at home. I fall asleep after a couple of minutes and stay asleep. Instead of tossing and turning, I hardly move at all. Highly recommend.",1,1.0
1,"I am personally acquainted with a member of this group and I love his music, but unfortunately, despite his efforts and talent which are not well exhibited herein, are for naught.  The lyrics are often unintelligible, the melodies are boring and repetitious, and the recording quality is marginal.  I am sad because I know these young folks are greatly inspired but it is not demonstrated here.",0,1.0
2,The Cd cover was broken when I got it,0,0.0
3,"This is an uplifting, keep going, motivating song.  Because the Lord is truly  Big and strong . He is my everything. And I like to share was awesome in the Lord. What isn't. He fills me. Thank you Lord.",1,1.0
4,"I bought this vinyl 2 times and they won't except m,y po box only my physical address! i paid for the shipping 2 different timesand never got the record. they said that my address didn't exist and i had ordered other products and got them delivered to my house no problem this company is a scam and don't have abe products they only steal everything you have bc there the scum of the world!!!",0,0.0
5,"I purchased this album to help me sleep after we had to take the air conditioner out of the window, unfortunately this file only plays 39.55 minutes out of the 105 minutes it's supposed to play, cutting off suddenly and distractingly. I have contacted Amazon regarding this, they made the download available to me again; I followed their instructions clearing my cache, uninstalling their downloader, and restarting my computer, but the file still has the same problem. It's evident that the file they have is just plain corrupt. I've requested a refund, but have heard nothing back. Don't buy this CD!

UPDATE: Amazon refunded my purchase price for this item soon after I had written this review.",0,0.0
6,good,1,1.0
7,"""Rainbow"" was a hard album for me to review. I love Johnny Cash, and to give anything that he has done less than 4 stars is tough for me. ""Rainbow"" was released in 1985 and was Cash's last album for Columbia. Veteran Memphis producer Chips Moman was given the honors this time around. Chips Moman had produced some incredible R&B hits, as well as bringing Willie Nelson to the masses with ""Always on my Mind."" However, this pairing doesn't work as well.  The material is weak and some quite ill-suited for Cash. ""Easy Street"" sounds contrived as Johnny Cash tries to relate to being a millionaire who's having a bad day. PLEEEEZ. On ""Love Me Like You Used To"" Cash sounds as bored singing it as I did listening to it. Sad. The album has three real good moments though. The opener ""I'm Leaving Now"" is a great lead track that Cash wrote about ""The System"" not a woman. Cut two is Kris Kristofferson's ""Here Comes That Rainbow Again"" which is an uplifting story told well. Cash's cover of CCR's ""Have You Ever Seen the Rain"" stands out also. This was the last digital download I needed to complete my collection. Now you know why.",0,1.0
8,"This was the very last original album from Johnny Cash to be released on Columbia records, after you listen to it you'll see why. A few good gems are on this, like his version of the CCR classic ""Have you ever seen the rain?"" but all in all this album is just lame. BUT I will say this......he then signed to Mercury records and made 5....yes 5 totally awesome CDs!  Buy all 5 of those merucry releases......1. Johnny cash is coming to Town....2. Water from the Wells of Home....3. Classic Cash '88 (re-recordings of his big hits)....4. Boom-chicka-Boom.....5. The Mystery of Life.",0,1.0
9,"I thoroughly enjoyed the Battlefield rendition of the series' many games' different themes. Battlefield 2 and Bad Company being the most prominent, the sequences are very well integrated and recording quality is amazing.

The reason for 4 stars instead of 5 is the very long, and very odd section of percussion only, about halfway through the song. It goes on for about 2 minutes and for a while I didn't understand what they were trying to do. I then figured that it was probably their attempt at the Battlefield 3 and 4 theme. But no, it's not. The album came out even before Bad Company 2 did... It doesn't ruin the overall experience entirely, but it was something that bothered me that I thought was worth noting. Otherwise, it's a great piece!",1,0.0
10,"I had the displeasure of listening to this song while listening to Lex and Terry. They had the singer on, Josie, interviewing him and whatnot over the phone, then they played this song. Horrible horrible song. Repetitive, generic, corporate metal? Can I even call it metal? Terrible song.",0,1.0
11,Michael Buble.  Enough said.,1,0.0
12,The movie was ok.  The soundtrack is great.  The piano and guitar work are both soulful and invigorating.  Helps keep me going,1,1.0
13,like this song because different singer is used (bass player) good good good good good and good and good ya,1,1.0
14,"The story itself is great. I have heard it before. But I am extremely disappointed with Amazon's ""download"" service. I thought I would end lp with an MP3 download that I could put on CD and listen to in the card. But instead I get a sort of referral to a website where I can hear the show but I cannot save it to my computer and put it on CD. I specifically downloaded this show to listen to on a trip I will be taking in the car. I will definitely not be buying any more ""downloads"" from Amazon.",0,0.0
15,"This is probably my favorite song these two do.  It was the first one I ever heard, and it is still at the top of my charts.",1,1.0
16,"Beautiful sad, melodic.  An absolutely wonderful tune!",1,1.0
17,"fantastic sound, I love cuban music",1,1.0
18,"Lovely. Juan Diego Florez has a beautiful voice. I heard him first on a PBS segment that highlighted an aria from ""Daughter of the Regiment,"" I think. Wow! Now I'm a fan and love this.",1,1.0
19,"Amazing music on all three albums. New favs.
I hope enough people listen and enjoy as much as me. Wish they come to Austin Tx.",1,1.0
20,"Sara's album is absolutely, positively, beautiful! (as is she!)
I love you so much Sara!!! You always have been such an example of Christ's love to me, and to so many people!
Keep it up sister!

~Brianna Robinson =)",1,1.0
21,This is a well-done version of a not-quite classic Christmas song. And Then There Were None are Tooth & Nail's loss.,1,0.0
22,Ipve Amazom,1,0.0
23,Absolutely FABULOUS!,1,1.0
24,"Purchased as an electronic transfer of one song and this led in turn
to the creation of my Anazon Cloud Drive.  The Cloud Player is a little
klunky, but since it is free, how can you complain.",1,1.0
25,Had the songs I wanted on it,1,0.0
